nama,harga,rating,jumlah_review,link,wilayah
Home in Sukasari - Villa Hobbit | Bandung | PVJ Mall | Pasteur Toll,"Rp 5,791,473",4.6,10,https://www.airbnb.com/rooms/1619307373679679482,Kota Bandung
Apartment in Sumurbandung - Braga Citywalk Apartment Lux Bandung 3BR,"Rp 5,800,000",5.0,4,https://www.airbnb.com/rooms/1719866042561803305,Kota Bandung
Home in Cibeunying Kaler - House in the Center of Bandung/10 Minutes to Gedung Sate,"Rp 4,849,000",4.89,27,https://www.airbnb.com/rooms/861879140642302067,Kota Bandung
Home in Parompong - Alandra castle lembang.15 min-dusun bambu.max16org,"Rp 10,000,000",5.0,4,https://www.airbnb.com/rooms/1689856953645448608,Kota Bandung
Guest suite in Kecamatan Sukajadi - Beautiful Living Balcony Pasteur,"Rp 6,717,208",5.0,71,https://www.airbnb.com/rooms/1043987158227854100,Kota Bandung
Tiny home in Lembang - Skyline Tree House,"Rp 3,601,800",5.0,7,https://www.airbnb.com/rooms/1589031442977806634,Kota Bandung
Rooms in Kecamatan Sukajadi - Golden Reindeer 2 Bedrooms,"Rp 3,900,000",4.93,29,https://www.airbnb.com/rooms/1379477010515360990,Kota Bandung
Room in Kiaracondong - Comfortable and spacious Guest Room at RumahAmbu Bandung,"Rp 1,543,820",4.98,47,https://www.airbnb.com/rooms/1449640997363130493,Kota Bandung
Tiny home in Lembang - Rumah Terrace Bata by wiandra,"Rp 5,411,221",4.9,562,https://www.airbnb.com/rooms/19105684,Kota Bandung
Home in Parompong - Casa Montierre with Pool & PlayStation,"Rp 9,975,000",4.86,22,https://www.airbnb.com/rooms/1685485233412173642,Kota Bandung
"Home in Lembang - A quiet and comfortable sharia villa, Tandra House","Rp 3,910,000",4.96,25,https://www.airbnb.com/rooms/1510689965619618008,Kota Bandung
Home in Kecamatan Bandung Wetan - Tamanari Poolhouse,"Rp 12,552,947",4.97,66,https://www.airbnb.com/rooms/1277816953594980676,Kota Bandung
Home in Cibeunying Kaler - Rooma Anga' (Home | 3BR | AC in every room),"Rp 4,171,596",4.86,167,https://www.airbnb.com/rooms/32950285,Kota Bandung
Apartment in Cidadap - Art Deco Luxury Residence,"Rp 7,963,640",4.86,132,https://www.airbnb.com/rooms/26345185,Kota Bandung
"Home in Lembang - Namuya Big Home Private Pool, Rooftop, BBQ&Karaoke","Rp 9,772,665",4.87,78,https://www.airbnb.com/rooms/1308439890867500504,Kota Bandung
Home in Mandalajati - Urban Nest Cicaheum,"Rp 3,356,800",5.0,19,https://www.airbnb.com/rooms/1645673176903055825,Kota Bandung
Room in Kecamatan Sukajadi - Hanif Room Syariah Hotel,"Rp 1,000,000",5.0,4,https://www.airbnb.com/rooms/1717695851050367482,Kota Bandung
Home in Cibeunying Kaler - Arumdaun II Villa Syariah with Private Pool,"Rp 11,126,476",5.0,11,https://www.airbnb.com/rooms/1652776070879808378,Kota Bandung
Home in Cimenyan - Numa castle. City view & garden,"Rp 3,908,481",4.86,36,https://www.airbnb.com/rooms/1482817274245079785,Kota Bandung
Home in Kecamatan Cidadap - Villa Citra by Kava Stay,"Rp 8,265,000",4.85,133,https://www.airbnb.com/rooms/1175880970019350932,Kota Bandung
Home in Parompong - 4BR Hegar Villa by Kava Stay,"Rp 6,982,500",4.92,106,https://www.airbnb.com/rooms/1440474690729229368,Kota Bandung
"Apartment in Cimenyan - Family Retreat: 5 Bedrooms, Peaceful Dago Atas","Rp 6,580,027",4.9,10,https://www.airbnb.com/rooms/1601183810809455235,Kota Bandung
Home in Kecamatan Antapani - Casa 42 Bandung - 15 Guests - Near City Center,"Rp 8,873,628",4.99,182,https://www.airbnb.com/rooms/903332426178198902,Kota Bandung
Cabin in Cilengkrang - Sawasaé Cabin,"Rp 5,477,650",5.0,12,https://www.airbnb.com/rooms/1577290696401406369,Kota Bandung
Room in Bandung Wetan - The Gempol Room - Aesthetic and Strategic (Studio),"Rp 1,835,868",4.89,28,https://www.airbnb.com/rooms/1528312507236321668,Kota Bandung
"Home in Cibeunying Kaler - Arumdaun-I, Villa Syariah with Private Pool","Rp 9,928,240",4.87,31,https://www.airbnb.com/rooms/1547421916592345580,Kota Bandung
Home in Bandung Wetan - Arunami House - Heart of Bandung near Gedung Sate,"Rp 14,245,000",New,0,https://www.airbnb.com/rooms/1741822323625221806,Kota Bandung
Guesthouse in Kecamatan Cidadap - 3BR Luxury Villa Bandung • Warm Pool & Bathtub,"Rp 10,298,995",4.8,79,https://www.airbnb.com/rooms/1089715740454680825,Kota Bandung
Condo in Kecamatan Cidadap - Top Rated Art Deco Jacuzzi Suite w/ Amazing View,"Rp 6,246,565",4.96,250,https://www.airbnb.com/rooms/52686735,Kota Bandung
Room in Kecamatan Sukajadi - Hanif Room Syariah Hotel,"Rp 1,000,000",5.0,4,https://www.airbnb.com/rooms/1717687578520661712,Kota Bandung
